"","Sample_ID","Sample_date","Sample_site","Response","Value"
"1","19950517-3-996",1995-05-17,"3-996","Lepto",0.294398467824884
"2","19950517-8-994",1995-05-17,"8-994","Lepto",0
"3","19950522-27-918",1995-05-22,"27-918","Lepto",0.355348320068622
"4","19950522-29-905",1995-05-22,"29-905","Lepto",0.55371455190668
"5","19950523-36-873",1995-05-23,"36-873","Lepto",0
"6","19950523-37-890",1995-05-23,"37-890","Lepto",0
"7","19950601-14-972",1995-06-01,"14-972","Lepto",0
"8","19950601-16-970",1995-06-01,"16-970","Lepto",0.377186356656876
"9","19950601-27-918",1995-06-01,"27-918","Lepto",0.0389236058808665
"10","19950601-29-905",1995-06-01,"29-905","Lepto",0.00188866484629441
"11","19950601-36-873",1995-06-01,"36-873","Lepto",0.245174753844357
"12","19950601-37-890",1995-06-01,"37-890","Lepto",0
"13","19950601-8-994",1995-06-01,"8-994","Lepto",0
"14","19950606-14-972",1995-06-06,"14-972","Lepto",0.928507887776713
"15","19950606-16-970",1995-06-06,"16-970","Lepto",0
"16","19950606-8-994",1995-06-06,"8-994","Lepto",0
"17","19950607-27-918",1995-06-07,"27-918","Lepto",0
"18","19950607-29-905",1995-06-07,"29-905","Lepto",0.0101622486855973
"19","19950607-36-873",1995-06-07,"36-873","Lepto",0
"20","19950607-37-890",1995-06-07,"37-890","Lepto",0
"21","19950614-14-972",1995-06-14,"14-972","Lepto",3.85252072418126
"22","19950614-16-970",1995-06-14,"16-970","Lepto",0.454544229989604
"23","19950614-8-994",1995-06-14,"8-994","Lepto",0.458172288822521
"24","19950615-27-918",1995-06-15,"27-918","Lepto",0.125896383970565
"25","19950615-29-905",1995-06-15,"29-905","Lepto",0.652102830719126
"26","19950615-36-873",1995-06-15,"36-873","Lepto",0
"27","19950615-37-890",1995-06-15,"37-890","Lepto",0
"28","19950619-27-918",1995-06-19,"27-918","Lepto",1.8307751283344
"29","19950619-29-905",1995-06-19,"29-905","Lepto",0.670537781910417
"30","19950619-36-873",1995-06-19,"36-873","Lepto",0.968661061348692
"31","19950619-37-890",1995-06-19,"37-890","Lepto",1.15546597581351
"32","19950620-14-972",1995-06-20,"14-972","Lepto",0.520697390043255
"33","19950620-3-996",1995-06-20,"3-996","Lepto",1.07934322316392
"34","19950620-8-994",1995-06-20,"8-994","Lepto",0
"35","19950622-16-970",1995-06-22,"16-970","Lepto",3.59437892003655
"36","19950626-14-972",1995-06-26,"14-972","Lepto",3.87856382736268
"37","19950626-16-970",1995-06-26,"16-970","Lepto",1.12403463573234
"38","19950626-8-994",1995-06-26,"8-994","Lepto",1.82372167169742
"39","19950629-27-918",1995-06-29,"27-918","Lepto",23.1132475271939
"40","19950629-29-905",1995-06-29,"29-905","Lepto",4.3258773364933
"41","19950629-36-873",1995-06-29,"36-873","Lepto",12.8739048069842
"42","19950629-37-890",1995-06-29,"37-890","Lepto",0
"43","19950705-8-994",1995-07-05,"8-994","Lepto",0
"44","19950710-14-972",1995-07-10,"14-972","Lepto",0
"45","19950710-16-970",1995-07-10,"16-970","Lepto",0
"46","19950710-27-918",1995-07-10,"27-918","Lepto",0.788908884318481
"47","19950710-29-905",1995-07-10,"29-905","Lepto",3.52182180107277
"48","19950710-36-873",1995-07-10,"36-873","Lepto",0
"49","19950710-37-890",1995-07-10,"37-890","Lepto",0
"50","19950710-8-994",1995-07-10,"8-994","Lepto",8.88211414407795
"51","19950717-3-996",1995-07-17,"3-996","Lepto",0
"52","19950717-8-994",1995-07-17,"8-994","Lepto",0
"53","19950719-27-918",1995-07-19,"27-918","Lepto",0.394764025359028
"54","19950719-29-905",1995-07-19,"29-905","Lepto",1.59066557282357
"55","19950719-36-873",1995-07-19,"36-873","Lepto",0.685647768276961
"56","19950719-37-890",1995-07-19,"37-890","Lepto",7.60921943048816
"57","19950724-14-972",1995-07-24,"14-972","Lepto",0
"58","19950724-16-970",1995-07-24,"16-970","Lepto",0
"59","19960522-3-996",1996-05-22,"3-996","Lepto",0
"60","19960523-14-972",1996-05-23,"14-972","Lepto",0
"61","19960523-16-970",1996-05-23,"16-970","Lepto",0
"62","19960523-8-994",1996-05-23,"8-994","Lepto",0
"63","19960531-27-918",1996-05-31,"27-918","Lepto",0
"64","19960531-29-905",1996-05-31,"29-905","Lepto",0.0518017912423325
"65","19960531-36-873",1996-05-31,"36-873","Lepto",0.808515991717882
"66","19960531-37-890",1996-05-31,"37-890","Lepto",0.512961533510389
"67","19960604-16-970",1996-06-04,"16-970","Lepto",0
"68","19960604-27-918",1996-06-04,"27-918","Lepto",0
"69","19960604-29-905",1996-06-04,"29-905","Lepto",0
"70","19960604-36-873",1996-06-04,"36-873","Lepto",0.551115697159922
"71","19960604-37-890",1996-06-04,"37-890","Lepto",0
"72","19960605-14-972",1996-06-05,"14-972","Lepto",0
"73","19960605-8-994",1996-06-05,"8-994","Lepto",0
"74","19960611-14-972",1996-06-11,"14-972","Lepto",0
"75","19960611-16-970",1996-06-11,"16-970","Lepto",0
"76","19960611-8-994",1996-06-11,"8-994","Lepto",1.39504838525369
"77","19960613-27-918",1996-06-13,"27-918","Lepto",0.77676889969965
